Registro,Modalidad,Responsable,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Área de suelo contaminado m²,Volumen de suelo contaminado m³,Programa de remediación aprobado,x,y,Técnica,Responsable de la remediación,Proceso de tratamiento,Año de conclusión,Área de suelo remediado m²,Año de identificación,Volumen de suelo remediado m³
16,,,,,"Km 292+015 poliducto de 14""Ø de Satélite-Gómez Palacio",,,,,,,,,,,Combinación de procesos biológicos-físicos,"Grupo Ancuri, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado y extracción de vapores en el sitio contaminado,2011,704,,1741.06
19,Emergencia ambiental,Pemex Refinación,Chihuahua,Jiménez,"Km 210+105 poliducto de 10"" Ø de Gómez Palacio-Chihuahua, Ejido Corralitos",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,9.55,9.55,Si,-104.734,27.017,,,,,,2008,
20,,,,,"Km 288+431 poliducto de 14""Ø Satélite-Gómez Palacio",,,,,,,,,,,Combinación de procesos biológicos-físicos,"Grupo Ancuri, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado y extracción de vapores en el sitio contaminado,2011,240,,1013.66
21,Emergencia ambiental,Pemex Refinación,Coahuila_de_Zaragoza,San Pedro,"Km 276+500 poliducto de 10"" Ø de Satélite-Gómez Palacio, Ejido La Rosita ",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,216.3,118.31,Si,-103.123,25.772,,,,,,2008,
22,,,,,"Km 182+250 poliducto de 10""Ø Satélite-Gómez Palacio",,,,,,,,,,,Combinación de procesos biológicos-físicos,"Grupo Ancuri, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado y extracción de vapores en el sitio contaminado,2011,71.5,,5820.66
23,Emergencia ambiental,Pemex Refinación,Durango,Gómez Palacio,"Km 019+135 poliducto de 10"" Ø de Gómez Palacio-Chihuahua, Ejido María Antonieta",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,71.5,45.2,Si,-103.553,25.713,,,,,,2008,
24,,,,,Km 005+000 carretera No. 45 México-Ciudad Juárez,,,,,,,,,,,Combinación de procesos biológicos-disposición final,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado y disposición final fuera del sitio,2009,105.5,,74.4
25,,,,,Km 045+900 carretera federal No. 02 P.G.L.V.-Tijuana,,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,56.6,,196.7
26,,,,,"Km 066+100 carretera No. 45 México-Ciudad Juárez, Pueblillo de Allende-Jiménez",,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,92,,139.4
27,,,,,Km 063+200 carretera No. 80 Tampico-Barra de Navidad,,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,14.5,,517.7
29,Pasivo ambiental,"Swiss North American Properties of México, S.A. de C.V.",Ciudad_de_México,Azcapotzalco,Norte 45 No. 731 colonia Industrial Vallejo,Derrames y/o fugas,Fabricación de resinas sintéticas. Actual: Alquiler sin intermediación de edificios industriales dentro de un parque industrial,Industria química. Actual: Servicios inmobiliarios,"Bifenilos policlorados, hidrocarburos, metales",Mezcla de contaminantes,3805,4375,Si,-99.16,19.493,,,,,,2008,
30,,,,,"Estación de Combustible del Aeropuerto Internacional  Puerto Vallarta Lic. Gustavo Díaz Ordaz, Carretera federal No. 200 a Tepic, colonia Villa de las Flores",,,,,,,,,,,Biológicos,"Universidad Nacional Autónoma de México, Instituto de Ingeniería",Biorremediación por biopilas a un lado del sitio contaminado,2011,220.45,,524.07
31,,,,,Avenida Jardín No. 330 colonia Ampliación del Gas,,,,,,,,,,,Disposición final,"Residuos Industriales Multiquim, S.A. de C.V.",Disposición final fuera del sitio,2014,220,,199
32,Emergencia ambiental,"Transportes Yucarro, S.A. de C.V.",Oaxaca,Nejapa de Madero,Km 129+900 carretera No. 190 México-Ciudad Cuauhtémoc tramo Totolapan-El Camarón ,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,703,345,No,-96.033,16.585,,,,,,2008,
